latitude,longitude,dest_latitude,dest_longitude,time
37.63322213,127.07765989,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25505.80
37.63322213,127.07765989,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25506.00
37.63322213,127.07765991,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25506.20
37.63322211,127.07765995,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25506.40
37.63322211,127.07765993,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25506.80
37.6332221,127.0776599,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25507.00
37.63322211,127.07765992,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25507.20
37.63322208,127.07765988,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25507.40
37.63322205,127.07765988,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25507.60
37.63322202,127.0776599,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25507.80
37.633222,127.07765991,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25508.00
37.63322196,127.07765994,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25508.40
37.63322194,127.07765992,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25508.60
37.63322192,127.07765994,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25508.80
